"!SYSTEM-key :Dansk (Med prefix: @)","da:Dansk (Denmark:Danish da-DK)","en:English (United Kingdom:English en-GB)","de:Deutsch (Germany:German de-DE)","fr:Français (France:French fr-FR)","tr:Türkçe (Turkey:Turkish tr-TR)","es:Español (Spain:Spanish es-ES)","it:italian","gr:Greenland"
"@Stregen angår...","Stregen angår...","The line concerns ...","Die Linie betrifft ...","La ligne concerne ...","çizgi ilgilendiriyor ...","La línea se refiere ...","La linea riguarda ...",
"@Stregens x-slutpunkt målt i mm fra venstre side-kant","Stregens x-slutpunkt målt i mm fra venstre side-kant","The string x endpoint measured in millimeters from the left-hand edge","Der String x Endpunkt in Millimeter von der linken Kante gemessen","La chaîne x effet mesuré en millimètres à partir du bord gauche","sol kenarından milimetre cinsinden ölçülür dize x bitiş noktası","La cadena x parámetro que se mida en milímetros desde el borde izquierdo","La stringa x endpoint misurata in millimetri dal bordo sinistro",
"@Stregens x-startpunkt målt i mm fra venstre side-kant","Stregens x-startpunkt målt i mm fra venstre side-kant","The swath x-start point measured in mm from the left edge","Die Schwaden x-Startpunkt gemessen in mm vom linken Rand","Le point andain x-start mesurée en mm du bord gauche","sol kenarından mm ölçülen tarama alanı x başlangıç ​​noktası","El punto de inicio franja x medido en mm desde el borde izquierdo","Il punto di andana x-start misurata in mm dal margine sinistro",
"@Stregens y-slutpunkt målt i mm fra side-bund","Stregens y-slutpunkt målt i mm fra side-bund","The swath y end point measured in mm from side-bottom","Die Schneise y Endpunkt gemessen in mm von der Seite unten","Le point mesuré en mm d'un côté de fond andain y end","yan alttan mm ölçülen orak y bitiş noktası","El punto final franja y se mide en milímetros de lado inferior","Il punto di andana y end misurata in mm da lato inferiore",
"@Stregens y-startpunkt målt i mm fra side-bund","Stregens y-startpunkt målt i mm fra side-bund","The swath y-start point measured in mm from side-bottom","Die Schneise y-Startpunkt gemessen in mm von der Seite unten","Le point andain y-start mesurée en mm d'un côté de fond","yan alttan mm ölçülen tarama alanı y-başlangıç ​​noktası","El punto de inicio franja y se mide en milímetros de lado inferior","Il punto andana y-start misurata in mm da lato inferiore",
"@Stregkode","Stregkode","barcode","Strichcode","code à barres","barkod","código de barras","codice a barre",
"@Strt..","Strt..","Strt ..","Strt ..","Strt ..","Strt ..","Strt ..","Strt ..",
"@Størrelse","Størrelse","Size","Größe","taille","boyut","tamaño","dimensione",
"@Sum konto","Sum konto","sum account","Summe Konto","compte somme","toplamı hesabı","cuenta de suma","conto sum",
"@Sum","Sum","Sum","Summe","somme","toplam","suma","somma",
"@Summér fra_konto. Angiv laveste kontonummer, som skal med i sammentællingen.","Summér fra_konto. Angiv laveste kontonummer, som skal med i sammentællingen.","Sum the fra_konto. Enter the lowest account number to be included in the count.","Summe den fra_konto. Geben Sie die niedrigste Kontonummer werden in die Zählung einbezogen.","Somme de la fra_konto. Entrez le numéro de compte la plus faible à être inclus dans le décompte.","fra_konto Sum. düşük hesap numarasını girin sayısına dahil edilecek.","Suma el fra_konto. Introduzca el número de cuenta más baja que se incluye en el recuento.","Somma il fra_konto. Inserire il numero di conto più basso da includere nel conteggio.",
"@Supplerende oplysning","Supplerende oplysning","additional information","weitere Informationen","des informations supplémentaires","ek bilgi","información adicional","ulteriori informazioni",
"@Supplerende stedsangivelse","Supplerende stedsangivelse","Additional place indication","Zusätzliche Ort Anzeige","lieu indication supplémentaire","Ek bir yer göstergesi","indicación de lugar adicional","Indicazione posto supplementare",
"@Systemet er baseret på CSS, og er med responsive design, som er velegnet til mobile enheder. ","Systemet er baseret på CSS, og er med responsive design, som er velegnet til mobile enheder. ","The system is based on CSS, and with responsive design which is suitable for mobile devices. ","Das System basiert auf CSS und mit reaktions Konstruktion, die für mobile Geräte geeignet ist. ","Le système est basé sur CSS, et avec un design réactif qui est adapté pour les appareils mobiles. ","Sistem CSS ve mobil cihazlar için uygundur duyarlı tasarımı ile dayanmaktadır. ","El sistema se basa en CSS, y con el diseño de respuesta que es adecuado para dispositivos móviles. ","Il sistema è basato su CSS e con design reattivo che è adatto per i dispositivi mobili. ",
"@Systemet kontrollerer om HTTPS er benyttet. (skal testes!)","Systemet kontrollerer om HTTPS er benyttet. (skal testes!)","The system checks whether HTTPS is used. (To be tested)","Das System prüft, ob HTTPS verwendet wird. (Zu prüfenden)","Le système vérifie si HTTPS est utilisé. (À tester)","sistemi kullanıldığında HTTPS olmadığını kontrol eder. (Test edilecektir)","El sistema verifica si se utiliza HTTPS. (Para ser probado)","Il sistema controlla se HTTPS viene utilizzato. (Ricerca da effettuare)",
"@Systemet kontrollerer om mappen er skrivbar","Systemet kontrollerer om mappen er skrivbar","The system checks whether the directory is writable","Das System prüft, ob das Verzeichnis beschreibbar ist","Le système vérifie si le répertoire est inscriptible","Sistem dizini yazılabilir olup olmadığını denetler","El sistema comprueba si el directorio se puede escribir","Il sistema verifica se la directory è scrivibile",
"@Systemet kontrollerer om modulet er tilgængeligt","Systemet kontrollerer om modulet er tilgængeligt","The system checks whether the module is available","Das System prüft, ob das Modul zur Verfügung steht","Le système vérifie si le module est disponible","sistem modülü mevcut olup olmadığını denetler","El sistema verifica si el módulo está disponible","Il sistema controlla se il modulo è disponibile",
"@Systemet kontrollerer om modulet er tilgængeligt. (skal testes!)","Systemet kontrollerer om modulet er tilgængeligt. (skal testes!)","The system checks whether the module is available. (To be tested)","Das System prüft, ob das Modul zur Verfügung steht. (Zu prüfenden)","Le système vérifie si le module est disponible. (À tester)","sistem modülü mevcut olup olmadığını kontrol eder. (Test edilecektir)","El sistema verifica si el módulo está disponible. (Para ser probado)","Il sistema controlla se il modulo è disponibile. (Ricerca da effettuare)",
"@Sælg...","Sælg...","Sell...","Verkaufen ...","A vendre ...","Satıyoruz ...","Vender ...","Vendita ...",
"@Sælger","Sælger","Seller","Verkäufer","vendeur","satıcı","vendedor","venditore",
"@Sælgers afdeling","Sælgers afdeling","Seller department","Verkäufer Abteilung","département Vendeur","Satıcı bölümü","departamento vendedor","Dipartimento Venditore",
"@Sælgers referance","Sælgers referance","Seller referance","Verkäufer referance","Vendeur referance","Satıcı referans","referance vendedor","Venditore referance",
"@Søg efter...","Søg efter...","Search for...","Suche nach ...","Rechercher ...","ara ...","Buscar ...","Ricerca di ...",
"@Søg en anden","Søg en anden","Search another","suchen Sie ein anderes","Rechercher une autre","başka ara","Buscar otro","Cerca un altro",
"@Søg","Søg","search","Suche","recherche","arama","búsqueda","ricerca",
"@Søgetekst","Søgetekst","Search Text","Suche Text","Recherche texte","Arama Metni","búsqueda de texto","Ricerca testo",
"@Sørg for at der er skriveadgang for Webbrugere, til katalogerne","Sørg for at der er skriveadgang for Webbrugere, til katalogerne","Make sure there is write access for Web users, for catalogs","Stellen Sie sicher, dass es den Schreibzugriff für Web-Benutzer, für Kataloge","Assurez-vous qu'il ya un accès en écriture pour les utilisateurs Web, pour les catalogues","Make Web kullanıcıları için yazma erişim katalogları için, olduğundan emin","Asegúrese de que no hay acceso de escritura para los usuarios de la Web, para los catálogos","Assicurarsi che vi sia l'accesso in scrittura per gli utenti Web, per i cataloghi",
"@TIP:","TIP:","TIP:","TIPP:","ASTUCE:","İPUCU:","TIP:","SUGGERIMENTO:",
"@TLS","TLS","TLS","TLS","TLS","TLS","TLS","TLS",
"@Tab-tast","Tab-tast","Tab key","Tab-Taste","touche Tab","Tab tuşu","tecla de tabulación","tasto Tab",
"@Tag backup i brug, ved at benytte den som nugældende formularsæt.","Tag backup i brug, ved at benytte den som nugældende formularsæt.","Backup in use, using it as current set of forms.","Sicherung im Einsatz, es als aktuellen Satz von Formularen.","Sauvegarde en cours d'utilisation, en utilisant comme série actuelle de formulaires.","formların mevcut grubu olarak kullanmaya kullanımda yedekleme.","Copia de seguridad en el uso, usándolo como conjunto actual de formas.","Backup in uso, utilizzando come set corrente di forme.",
"@Tegn en hotline-aftale, så kan du ringe eller sende en e-mail og få hurtigt svar på spørgsmål om brugen af","Tegn en hotline-aftale, så kan du ringe eller sende en e-mail og få hurtigt svar på spørgsmål om brugen af","Draw a hotline agreement, then you can call or send an e-mail and get quick answers to questions about the use of","Zeichnen Sie eine Hotline Vereinbarung, dann können Sie anrufen oder eine E-Mail senden und erhalten schnelle Antworten auf Fragen über die Verwendung von","Dessinez un accord de hotline, alors vous pouvez appeler ou envoyer un e-mail et obtenir des réponses rapides à des questions sur l'utilisation de","Bir telefon hattı anlaşması çizin, o zaman arayabilir ya da e-posta göndermek ve kullanımı hakkında sorulara hızlı cevap alabilirsiniz","Dibujar una línea directa de acuerdo, entonces se puede llamar o enviar un correo electrónico y obtener respuestas rápidas a las preguntas sobre el uso de","Disegnare un accordo di numero verde, quindi è possibile chiamare o inviare una e-mail e ottenere risposte rapide alle domande circa l'uso di",
"@Tegnsæt","Tegnsæt","Encoding","Codierung","codage","kodlama","codificación","Codifica",
"@Tekst farve. Se farve skema","Tekst farve. Se farve skema","Text color. See color scheme","Textfarbe. Siehe Farbschema","Couleur du texte. Voir schéma de couleurs","Yazı rengi. renk düzenini bakın","El color del texto. Ver esquema de color","Colore del testo. Vedi schema di colori",
"@Tekst linier med ordrepostering.","Tekst linier med ordrepostering.","Text lines with order entry.","Textzeilen mit Auftragserfassung.","Les lignes de texte avec la saisie des commandes.","Sipariş girişi ile Metin satırları.","Las líneas de texto con la entrada de pedidos.","linee di testo con l'inserimento degli ordini.",
"@Tekst","Tekst","Text","Text","texte","metin","texto","testo",
"@Tekst/$variabel","Tekst/$variabel","Text / $ variable","Text / $ variable","Texte / variable $","Metin / $ değişkeni","Texto / $ variables","Testo / $ variabile",
"@Tekstens x-startpunkt målt i mm fra venstre side-kant","Tekstens x-startpunkt målt i mm fra venstre side-kant","The text's x-start point as measured in millimeters from the left-hand edge","Die x-Startpunkt des Textes wie in Millimetern von der linken Kante gemessen","point x-démarrage du texte tel que mesuré en millimètres du bord gauche","Metnin x başlangıç ​​noktası sol kenarından milimetre cinsinden ölçülür olarak","punto x-inicio del texto como se mide en milímetros del borde izquierdo","punto x-start del testo come misurata in millimetri dal bordo sinistro",
"@Tekster","Tekster","texts","Texte","textes","metinler","textos","testi",
"@Teksthøjde målt i [px]","Teksthøjde målt i [px]","Text height measured in [px]","Texthöhe in [px] gemessen","Hauteur du texte mesurée en [px]","Metin yüksekliği [px] ölçülen","Altura de texto mide en [px]","Altezza del testo misurato in [px]",
"@Telefon","Telefon","Telephone","Telefon","téléphone","telefon","teléfono","telefono",
"@Telefon(er)","Telefon(er)","Telephone (s)","Telefon (e)","Téléphone (s)","Telefon (lar)","Teléfono (s)","Telefono (s)",
"@Telefon.","Telefon.","Telephone.","Telefon.","Téléphone.","Telefon.","Teléfono.","Telefono.",
"@Telf...","Telf...","Tel ...","Tel ...","Tel ...","Tel ...","Tel ...","Tel ...",
"@Test om de indtastede password er ens.","Test om de indtastede password er ens.","Test whether the entered password is the same.","Prüfen Sie, ob das eingegebene Passwort ist das gleiche.","Testez si le mot de passe entré est le même.","Girilen parola aynı olup olmadığını kontrol edin.","Comprobar si la contraseña introducida es la misma.","Verificare se la password inserita è la stessa.",
"@The PDF Toolkit: flette pdf-baggrund med side.","The PDF Toolkit: flette pdf-baggrund med side.","The PDF Toolkit: merge PDF background page.","Das PDF-Toolkit: PDF Hintergrundseite verschmelzen.","Le PDF Toolkit: merge PDF de fond de page.","PDF Toolkit: PDF arka plan sayfası birleştirme.","El kit de herramientas de PDF: PDF fusionar página de fondo.","Il Toolkit PDF: unire sfondo della pagina PDF.",
"@Tidspunkt","Tidspunkt","time","Zeit","temps","zaman","tiempo","tempo",
"@Til Budget","Til Budget","On Budget","Auf Budget","Sur le budget","Bütçe","de Presupuesto","sul bilancio",
"@Til konto","Til konto","To account","auf Rechnung","pour compte","hesaba","a la cuenta","per conto",
"@Til","Til","to","zu","à","için","a","a",
"@Tilbagefør postering","Tilbagefør postering","Revert entry","Revert Eintrag","Revert entrée","girdiyi geri döndür","revertir la entrada","Ripristina la voce",
"@Tilbagefør","Tilbagefør","Revert","zurückfallen","revenir","dönmek","revertir","ritornare",
"@Tilbud","Tilbud","Offer","Angebote","offres","teklifler","ofertas","offerte",
"@Tilbud:","Tilbud:","Offer:","bietet:","propose:","sunmaktadır:","ofrece:","offre:",
"@Tilbudsgruppe","Tilbudsgruppe","offers Group","Angebote Gruppen","Groupe offre","Grup sunuyor","Grupo ofrece","offre Group",
"@Tilbudsgrupper","Tilbudsgrupper","Offer Groups","Angebot Gruppen","Groupes d'offre","Teklif Grupları","oferta Grupos","Gruppi di Offerta",
"@Tilg...","Tilg...","Avail ...","Avail ...","Avail ...","Mevcut ...","Disp ...","Disp ...",
"@Tilknyttet note","Tilknyttet note","associated note","assoziiert Note","note associée","ilişkili notu","nota asociada","nota associata",
"@Tillad negativ lagerbeholdning","Tillad negativ lagerbeholdning","Allow negative stock","Lassen Sie negative Aktien","Autoriser le stock négatif","Negatif stok izin","Permitir negativo stock","Consentire magazzino negativo",
"@Tillægs funktioner:","Tillægs funktioner:","Supplementary features:","Ergänzende Funktionen:","Caractéristiques supplémentaires:","Ek özellikler:","características complementarias:","Caratteristiche supplementari:",
