"!SYSTEM-key :Dansk (Med prefix: @)","da:Dansk (Denmark:Danish da-DK)","en:English (United Kingdom:English en-GB)","de:Deutsch (Germany:German de-DE)","fr:Français (France:French fr-FR)","tr:Türkçe (Turkey:Turkish tr-TR)","pl:Polish (Poland pl-PL)","es:Español (Spain:Spanish es-ES)","it:italian"
"@Tag backup i brug, ved at benytte den som nugældende formularsæt.","Tag backup i brug, ved at benytte den som nugældende formularsæt.","Backup in use, using it as current set of forms.","Sicherung im Einsatz, es als aktuellen Satz von Formularen.","Sauvegarde en cours d'utilisation, en utilisant comme série actuelle de formulaires.","formların mevcut grubu olarak kullanmaya kullanımda yedekleme.","Kopia zapasowa w użyciu, wykorzystując go jako aktualnego zestawu form.","Copia de seguridad en el uso, usándolo como conjunto actual de formas.","Backup in uso, utilizzando come set corrente di forme."
"@Tastatur genvej: ","Tastatur genvej: ","Keyboard shortcut:","Tastaturkürzel:","Raccourci clavier:","Klavye kısayolu:","Skrót klawiaturowy:","Atajo de teclado:","Tasti di scelta rapida:"
"@Tegn en hotline-aftale, så kan du ringe eller sende en e-mail og få hurtigt svar på spørgsmål om brugen af","Tegn en hotline-aftale, så kan du ringe eller sende en e-mail og få hurtigt svar på spørgsmål om brugen af","Draw a hotline agreement, then you can call or send an e-mail and get quick answers to questions about the use of","Zeichnen Sie eine Hotline Vereinbarung, dann können Sie anrufen oder eine E-Mail senden und erhalten schnelle Antworten auf Fragen über die Verwendung von","Dessinez un accord de hotline, alors vous pouvez appeler ou envoyer un e-mail et obtenir des réponses rapides à des questions sur l'utilisation de","Bir telefon hattı anlaşması çizin, o zaman arayabilir ya da e-posta göndermek ve kullanımı hakkında sorulara hızlı cevap alabilirsiniz","Draw umowę hotline, to można zadzwonić lub wysłać e-mail i uzyskać szybkie odpowiedzi na pytania dotyczące używania","Dibujar una línea directa de acuerdo, entonces se puede llamar o enviar un correo electrónico y obtener respuestas rápidas a las preguntas sobre el uso de","Disegnare un accordo di numero verde, quindi è possibile chiamare o inviare una e-mail e ottenere risposte rapide alle domande circa l'uso di"
"@Tegn kodning for shop ","Tegn kodning for shop ","Character encoding for shop","Zeichenkodierung für Shop","encodage de caractères pour le magasin","dükkan için karakter kodlama","Kodowanie znaków w sklepie","codificación de caracteres para la tienda","codifica dei caratteri per negozio"
"@Tegnsæt","Tegnsæt","Encoding","Codierung","codage","kodlama","kodowanie","codificación","Codifica"
"@Tekst farve. Se farve skema","Tekst farve. Se farve skema","Text color. See color scheme","Textfarbe. Siehe Farbschema","Couleur du texte. Voir schéma de couleurs","Yazı rengi. renk düzenini bakın","Kolor tekstu. Patrz schemat kolorów","El color del texto. Ver esquema de color","Colore del testo. Vedi schema di colori"
"@Tekst linier med ordrepostering.","Tekst linier med ordrepostering.","Text lines with order entry.","Textzeilen mit Auftragserfassung.","Les lignes de texte avec la saisie des commandes.","Sipariş girişi ile Metin satırları.","Linie tekstowe z wejściem kolejności.","Las líneas de texto con la entrada de pedidos.","linee di testo con l'inserimento degli ordini."
"@Tekst","Tekst","Text","Text","texte","metin","tekst","texto","testo"
"@Tekst...","Tekst...","Text...","Text ...","Texte ...","Metin ...","Tekst ...","Texto ...","Testo ..."
"@Tekst/$variabel","Tekst/$variabel","Text / $ variable","Text / $ variable","Texte / variable $","Metin / $ değişkeni","Tekst $ zmienna /","Texto / $ variables","Testo / $ variabile"
"@Teksten kan indeholde variabel-navne, som udskiftes med aktuelle værdier, når der printes","Teksten kan indeholde variabel-navne, som udskiftes med aktuelle værdier, når der printes","The text can contain variable names, which are replaced with actual values ​​when printing","Der Text kann Variablennamen enthalten, die mit den tatsächlichen Werten ersetzt werden beim Drucken","Le texte peut contenir des noms de variables, qui sont remplacées par des valeurs réelles lors de l'impression","Metin yazdırılırken asıl değerleri ile değiştirilecek olan değişken isimlerini içerebilir","Tekst może zawierać nazwy zmiennych, które są zastąpione wartościami rzeczywistymi przy drukowaniu","El texto puede contener nombres de variables, que se sustituyen por los valores reales cuando se imprime","Il testo può contenere nomi di variabili, che vengono sostituiti con i valori effettivi durante la stampa"
"@Tekstens id","Tekstens id","Text id","Text-ID","id texte","metin kimliği","id Tekst","Identificación del texto","testo ID"
"@Tekstens x-startpunkt målt i mm fra venstre side-kant","Tekstens x-startpunkt målt i mm fra venstre side-kant","The text's x-start point as measured in millimeters from the left-hand edge","Die x-Startpunkt des Textes wie in Millimetern von der linken Kante gemessen","point x-démarrage du texte tel que mesuré en millimètres du bord gauche","Metnin x başlangıç ​​noktası sol kenarından milimetre cinsinden ölçülür olarak","W tekście w pkt x-start mierzona w milimetrach od krawędzi lewej","punto x-inicio del texto como se mide en milímetros del borde izquierdo","punto x-start del testo come misurata in millimetri dal bordo sinistro"
"@Tekster på formularer:","Tekster på formularer:","Texts on forms:","Texte in Formularen:","Textes sur les formes:","formlardaki Metinler:","Teksty na formach:","Textos sobre formas:","Testi di forme:"
"@Tekster","Tekster","texts","Texte","textes","metinler","teksty","textos","testi"
"@Teksterne benyttes ikke i programfladen, men til udskrivning af blanketter.","Teksterne benyttes ikke i programfladen, men til udskrivning af blanketter.","The texts are not used in the program schedule, but for printing forms.","Die Texte werden nicht in dem Programmplan, sondern auch für Druckformen verwendet.","Les textes ne sont pas utilisés dans le calendrier du programme, mais pour des formes d'impression.","metinler program kitapçığında kullanılan, ancak baskı formları için değildir.","Teksty nie są wykorzystywane w czasie nadawania, ale dla form drukarskich.","Los textos no se utilizan en el horario de programación, pero para las formas de impresión.","I testi non sono utilizzati nel palinsesto, ma da forme di stampa."
"@Teksthøjde målt i [px]","Teksthøjde målt i [px]","Text height measured in [px]","Texthöhe in [px] gemessen","Hauteur du texte mesurée en [px]","Metin yüksekliği [px] ölçülen","tekst wysokość mierzona w [px]","Altura de texto mide en [px]","Altezza del testo misurato in [px]"
"@Telefax","Telefax","telefax","Telefax","téléfax","telefaks","telefaksem","telefax","telefax"
"@Telefon","Telefon","Telephone","Telefon","téléphone","telefon","telefon","teléfono","telefono"
"@Telefon(er)","Telefon(er)","Telephone (s)","Telefon (e)","Téléphone (s)","Telefon (lar)","Telefon (y)","Teléfono (s)","Telefono (s)"
"@Telefon.","Telefon.","Telephone.","Telefon.","Téléphone.","Telefon.","Telefon.","Teléfono.","Telefono."
"@Telf...","Telf...","Tel ...","Tel ...","Tel ...","Tel ...","Tel ...","Tel ...","Tel ..."
"@Terminal IP","Terminal IP","terminal IP","Terminal IP","terminal IP","Terminal IP","Terminal IP","terminal IP","terminale IP"
"@Test om de indtastede password er ens.","Test om de indtastede password er ens.","Test whether the entered password is the same.","Prüfen Sie, ob das eingegebene Passwort ist das gleiche.","Testez si le mot de passe entré est le même.","Girilen parola aynı olup olmadığını kontrol edin.","Sprawdzić, czy wprowadzone hasło jest takie samo.","Comprobar si la contraseña introducida es la misma.","Verificare se la password inserita è la stessa."
"@The PDF Toolkit: flette pdf-baggrund med side.","The PDF Toolkit: flette pdf-baggrund med side.","The PDF Toolkit: merge PDF background page.","Das PDF-Toolkit: PDF Hintergrundseite verschmelzen.","Le PDF Toolkit: merge PDF de fond de page.","PDF Toolkit: PDF arka plan sayfası birleştirme.","Toolkit PDF: PDF scalania stronę tła.","El kit de herramientas de PDF: PDF fusionar página de fondo.","Il Toolkit PDF: unire sfondo della pagina PDF."
"@Tidsfrist for udskrift","Tidsfrist for udskrift","Deadline for print","Termin für die Druck","Date limite pour l'impression","baskı için son tarih","Termin do druku","La fecha límite para la impresión","Termine ultimo per la stampa"
"@Tidspunkt","Tidspunkt","time","Zeit","temps","zaman","czas","tiempo","tempo"
"@Til Budget","Til Budget","On Budget","Auf Budget","Sur le budget","Bütçe","w sprawie budżetu","de Presupuesto","sul bilancio"
"@Til Hovedmenu","Til Hovedmenu","Main Menu","Hauptmenü","Menu principal","ana Menü","Menu główne","Menú principal","Menu principale"
"@Til konto","Til konto","To account","auf Rechnung","pour compte","hesaba","na konto","a la cuenta","per conto"
"@Til","Til","To","zu","à","için","do","a","a"
"@Tilbagefør postering","Tilbagefør postering","Revert entry","Revert Eintrag","Revert entrée","girdiyi geri döndür","Przywróć wpis","revertir la entrada","Ripristina la voce"
"@Tilbagefør","Tilbagefør","Revert","zurückfallen","revenir","dönmek","Przywróć","revertir","ritornare"
"@Tilbud","Tilbud","Offer","Angebote","offres","teklifler","oferty","ofertas","offerte"
"@Tilbud:","Tilbud:","Offer:","bietet:","propose:","sunmaktadır:","oferuje:","ofrece:","offre:"
"@Tilbudsgruppe","Tilbudsgruppe","offers Group","Angebote Gruppen","Groupe offre","Grup sunuyor","Grupa oferuje","Grupo ofrece","offre Group"
"@Tilbudsgrupper","Tilbudsgrupper","Offer Groups","Angebot Gruppen","Groupes d'offre","Teklif Grupları","Oferta Grupy","oferta Grupos","Gruppi di Offerta"
"@Tilføj ekstra felter på ansatte","Tilføj ekstra felter på ansatte","Add extra fields on employees","Hinzufügen von zusätzlichen Feldern auf Mitarbeiter","Ajouter des champs supplémentaires sur les employés","Görevli ekstra alanlar ekleme","Dodaj dodatkowe pola na pracowników","Añadir campos adicionales a los empleados","Aggiungere campi aggiuntivi su dipendenti"
"@Tilg...","Tilg...","Avail ...","Avail ...","Avail ...","Mevcut ...","Dostępność ...","Disp ...","Disp ..."
"@Tilknyt","Tilknyt","associate","zuweisen","assigner","atamak","przydzielać","asignar","assegnare"
"@Tilknyttet note","Tilknyttet note","associated note","assoziiert Note","note associée","ilişkili notu","związane note","nota asociada","nota associata"
"@Tillad forskellige datoer på samme bilagsnummer i kassekladde.","Tillad forskellige datoer på samme bilagsnummer i kassekladde.","Allow different dates on the same voucher number in the journal entry.","Lassen Sie andere Daten der gleichen Belegnummer in der Journaleintrag.","Autoriser des dates différentes sur le même numéro de bon de réduction dans l'entrée du journal.","günlük girdisi aynı fiş numarası farklı tarihleri ​​izin verin.","Pozwól różne daty na taką samą liczbę kuponów w zapisie księgowym.","Permitir fechas diferentes en el mismo número de comprobante en el asiento.","Consentire date differenti sullo stesso numero del voucher nella voce di diario."
"@Tillad negativ lagerbeholdning","Tillad negativ lagerbeholdning","Allow negative stock","Lassen Sie negative Aktien","Autoriser le stock négatif","Negatif stok izin","Pozwól negatywny akcji","Permitir negativo stock","Consentire magazzino negativo"
"@Tilladte IP adresser","Tilladte IP adresser","Allowed IP Addresses","Zulässigen IP-Adressen","Adresses IP autorisées","İzin IP Adresleri","Dozwolonych adresów IP","Direcciones IP permitidas","Indirizzi IP ammessi"
"@Tillægs funktioner:","Tillægs funktioner:","Supplementary features:","Ergänzende Funktionen:","Caractéristiques supplémentaires:","Ek özellikler:","funkcje uzupełniające:","características complementarias:","Caratteristiche supplementari:"
"@Tilpasset dataudtræk:","Tilpasset dataudtræk:","Custom data extraction:","Benutzerdefinierte Datenextraktion:","extraction de données personnalisées:","Özel veri çıkarma:","Niestandardowe ekstrakcja danych:","la extracción de datos de encargo:","estrazione dei dati personalizzato:"
"@Tiltrådt","Tiltrådt","Appointed","Bestellt","nommé","döşenmiş","wyznaczony","fijado","designato"
"@Tilvalgs indstillinger 3.","Tilvalgs indstillinger 3.","The Options settings third","Die Optionseinstellungen dritte","Les paramètres Options tiers","Üçüncü Seçenek ayarları","Ustawienia Opcje trzecie","Los parámetros de Opciones de terceros","Le impostazioni Opzioni terzo"
"@Tilvalgs modul: Ikke aktivt!","Tilvalgs modul: Ikke aktivt!","The Options module: Not active!","Das Modul Optionen: Nicht aktiv!","Le module Options: Non actif!","Seçenekler modülü: Aktif değil!","Moduł Opcje: Nie aktywny!","El módulo Opciones: No activo!","Il modulo Opzioni: non attivo!"
"@Tip","Tip","Tip","Spitze","pointe","uç","wskazówka","punta","punta"
"@Tip: ","Tip: ","Tip:","Tipp:","Astuce:","İpucu:","Porada:","Consejo:","Suggerimento:"
"@Tip:","Tip:","Tip:","Tipp:","Astuce:","İpucu:","Porada:","Consejo:","Suggerimento:"
"@Tip?:","Tip?:","Tip?:","Tipp?:","Astuce?:","? İpucu:","Wskazówka?:","Propina?:","Suggerimento?:"
"@Tips","Tips","tips","Tipps","conseils","ipuçları","wskazówki","consejos","suggerimenti"
"@Tjeklister","Tjeklister","Checklists","Prüflisten","Checklists","Denetim Listeleri","Listy kontrolne","Las listas de verificación","Liste di controllo"
"@Tjeklister:","Tjeklister:","Checklists:","Prüflisten:","Checklists:","Denetim Listeleri:","Listy kontrolne:","Listas de comprobación:","Elenchi di controllo:"
